model,accuracy,precision,recall,f1,roc_auc,cv_mean_f1
logistic_regression,0.95,0.7164948453608248,0.9652777777777778,0.8224852071005917,0.9896227904040404,0.8292450961429477
random_forest,0.9691666666666666,0.9083969465648855,0.8263888888888888,0.8654545454545455,0.9941077441077442,0.8920467695322998
temporal_graphsage,0.9741666666666666,0.8598726114649682,0.9375,0.8970099667774086,0.9953243371212122,
tgn,0.9491666666666667,0.7712418300653595,0.8194444444444444,0.7946127946127947,0.976858428030303,
ensemble,0.9833333333333333,0.8875,0.9861111111111112,0.9342105263157895,0.9980139941077442,
